size,runInter0,runInter3
5,0.404184301,0.3197991
5,0.2573521,0.251441001
5,0.564132599,0.3655019
5,0.226635901,0.4168752
5,0.253198101,0.279660901
5,0.265516199,0.313144401
5,0.3084086,0.421280999
5,0.4228743,0.335670799
5,0.395397101,0.4428761
6,0.5741311,0.738569701
6,0.5341991,0.5621311
6,0.4270119,0.620606301
6,0.4427787,0.665942001
6,0.478890899,0.6282992
6,0.4810303,0.661946199
6,0.529973,0.7900365
6,0.543470599,0.7510902
6,0.508891699,0.712656201
6,0.647161,0.670908599
7,1.032165701,1.3851383
7,0.940313601,1.463372001
7,0.970570199,1.4092134
7,0.9505545,1.4495686
7,0.894993099,1.5773705
7,0.8585799,1.4646545
7,0.954367,1.450862801
7,0.972827701,1.4409131
7,0.9521809,1.452815101
7,0.998418999,1.4639262
8,2.034763501,3.037070499
8,2.047774401,3.114855499
8,1.9627487,3.0776353
8,1.793588601,3.054661501
8,1.835090401,2.922952199
8,1.7684919,3.0945732
8,1.8581899,2.9366457
8,2.0701008,2.7804149
8,1.854639,2.975696999
8,2.0875695,3.120458301
9,4.502205,7.2516437
9,4.370602199,7.4226125
9,5.499261499,7.1133078
9,4.3734634,7.2958185
9,4.829638501,7.137082201
9,4.4847494,7.3412805
9,5.0629931,7.5440141
9,4.411467801,7.4096877
9,4.4771125,7.418289001
9,4.415919199,7.5041833
10,10.402551,16.6436792
10,10.8584463,16.0656894
10,9.3707439,17.5644777
10,9.235128899,17.8640523
10,9.356358799,17.5729904
10,9.252718599,16.1060782
10,9.24889,16.1179682
10,9.4029914,16.0038767
10,10.2283473,16.2700939
10,10.2081257,15.6756875
