size,runInter0,runInter3
5,0.413330999,0.483084
5,0.472006701,0.7982886
5,0.5560725,0.5894207
5,0.5909471,0.6513478
5,0.4435619,0.6841611
5,0.5455771,0.704997199
5,0.447377201,0.5720729
5,0.531684101,0.692893799
5,0.510698601,0.6143333
5,0.5639165,0.6253122
6,0.895290501,1.093952101
6,0.8157093,1.275779199
6,0.8153988,0.940379499
6,0.9456534,1.109656199
6,0.7416617,1.0756545
6,0.979815399,1.1359054
6,0.8823645,1.0704321
6,0.7715371,1.1345302
6,0.8490942,1.0726334
6,0.8879582,1.1211356
7,1.988861601,2.4848595
7,2.252036999,2.8478512
7,2.2046956,3.4089811
7,1.8133838,3.1573702
7,1.8529223,2.811697
7,1.984997699,3.1381148
7,2.2416565,2.6244093
7,2.1309263,2.964401101
7,1.9831596,2.828234401
7,2.0592572,2.97052
8,4.7714182,6.8460182
8,4.9266036,6.294305299
8,4.4186857,6.5660511
8,4.8034836,7.4779114
8,4.9320853,7.0397564
8,4.4543388,6.7269767
8,4.1796073,6.7222912
8,4.2170678,6.385227399
8,4.746704099,6.334417
8,4.3174877,6.660594901
9,12.146538401,16.240039
9,10.464033901,20.4098894
9,9.991550901,21.595770501
9,12.8450557,16.4600067
9,10.7302415,16.1707731
9,10.2819875,19.3324171
9,12.900712401,20.952772601
9,10.3124624,19.224515101
9,9.7177651,20.0927727
9,10.3305684,18.3587843
10,24.7410673,35.503666099
10,28.877463101,38.8967627
10,29.931110399,43.0810277
10,29.564817,32.2903276
10,29.101684201,42.2521666
10,23.190183599,34.456794
10,24.245102399,39.265230099
10,23.549329,35.9538672
10,32.3366962,39.2737346
10,24.714135501,44.7218496
