Intra_Fair2,Intra_Fair3,Intra_Fair4,Inter_Fair1,Inter_Fair2,Inter_Fair3,Customer_Care,lam1,lam2,lam3
1.1154733341950386e-15,9.93950404569107e-16,2.5422800433327826e-8,4.171364440381894e-17,2.4899736618741117e-17,0.00990099044953235,2.422051712291688,0.5,0.5,0.0
4.6703013129124817e-14,4.7133032952314393e-14,1.6798642147416303e-7,3.4219293168200442e-15,3.6612934558804904e-15,0.009900992518838584,2.6347012990685266,0.5,0.5,0.0
1.8010844299893317e-13,1.7995906103068506e-13,3.2819614439459885e-7,5.3251323708613905e-15,5.4218262639881524e-15,0.00990099802597488,2.7377228725187823,0.5,0.5,0.0
2.971610803006236e-14,3.0080504164922335e-14,1.3727140592536698e-7,4.590898735018496e-15,4.690565568206333e-15,0.009900992580312178,2.811927402178073,0.5,0.5,0.0
2.2616940711280292e-13,2.2649066716441122e-13,3.7170480923623887e-7,2.9694606581769786e-16,5.246189796841074e-16,0.009900988345776723,2.859877196059611,0.5,0.5,0.0
5.131185599772705e-15,4.971843463742055e-15,5.3222568972005546e-8,9.89408233816438e-16,9.867887314874949e-16,0.009900991658281386,2.8119834276030313,0.5,0.5,0.0
8.484584128800981e-16,1.2387608335450907e-15,2.429211483650847e-8,2.3577809603806956e-16,7.412181619924735e-16,0.009900991522446324,2.5282141978819426,0.5,0.5,0.0
1.9452681501580054e-15,1.9405124095602633e-15,3.485347409322701e-8,5.805722060132156e-17,7.516954268456947e-17,0.00990099145312149,2.0205177168719324,0.5,0.5,0.0
4.746769602976357e-15,4.690125921049017e-15,5.292327491706443e-8,2.6637003757819586e-16,4.4492407331614504e-17,0.009900991401443252,2.188273630959678,0.5,0.5,0.0
1.4016397666319602e-13,1.4021170984968582e-13,2.9228129641534193e-7,1.1527975779723644e-13,1.1520251950975428e-13,0.009901009990869684,2.70980512093207,0.5,0.5,0.0
2.5497409336352794e-15,2.5572850272860443e-15,3.719915649956375e-8,8.182579277819815e-16,9.13689973427906e-16,0.009900993389923438,2.311337888915442,0.5,0.5,0.0
4.60453732273371e-13,4.60587521947953e-13,5.306648036738909e-7,2.95000323736724e-13,2.95127530138891e-13,0.009901030954447512,2.2064120268514196,0.5,0.5,0.0
7.144533262589507e-13,7.142262023997816e-13,6.693090487127594e-7,8.610526059339394e-14,8.600149805150366e-14,0.009901008967678766,2.518591935170115,0.5,0.5,0.0
2.8277252494199545e-15,2.723390123845246e-15,3.672455528277945e-8,4.242841170879341e-16,1.974407760404091e-16,0.009900991733061817,2.498966819467817,0.5,0.5,0.0
7.537197051174419e-13,7.534972908673387e-13,6.668783866295435e-7,1.4809558243455477e-13,1.4797866086525198e-13,0.009901026242304344,2.2548097094860586,0.5,0.5,0.0
3.154145013423169e-13,3.157031396775551e-13,4.065959341146961e-7,5.4974273611912335e-14,5.5248660776631623e-14,0.009901006840340135,2.356972604642948,0.5,0.5,0.0
6.8907568891658685e-15,6.853803864525994e-15,6.511824312393161e-8,4.3622154431949105e-16,5.185702462702317e-16,0.009900992157392399,2.102187090073936,0.5,0.5,0.0
1.0959643888661033e-12,1.0960622742275375e-12,6.651184473992675e-7,2.541562485893009e-13,2.541481869002858e-13,0.00990102874899233,2.405270520954233,0.5,0.5,0.0
3.074475697760193e-15,3.0761599380725133e-15,4.178098100680369e-8,1.840221647933012e-15,1.95674104863942e-15,0.009900992027034889,2.725293556267379,0.5,0.5,0.0
8.372462351963418e-14,8.36082035103032e-14,2.2065388352906738e-7,1.1508053690535676e-15,1.202867468298055e-15,0.009900985676339825,2.9572162829172806,0.5,0.5,0.0
1.0668702002006547e-15,9.315312428011381e-16,2.4226651662587106e-8,9.047405839579641e-16,8.494117764209375e-16,0.009900992110513387,2.340868741420938,0.5,0.5,0.0
9.584114453538133e-13,9.579668297526912e-13,7.180961416131879e-7,3.493085164998902e-13,3.4906605580689796e-13,0.009901032772892643,2.6751213941044747,0.5,0.5,0.0
3.5190877940766905e-16,9.218043308937156e-17,1.258799196521025e-8,2.648847967380487e-16,1.347954881565407e-16,0.009900990771126456,2.2066363892702094,0.5,0.5,0.0
2.7121934831743445e-15,2.528059179821505e-15,3.961671853973451e-8,4.60417480517896e-16,4.27760937527868e-16,0.00990099152069034,2.15239509082448,0.5,0.5,0.0
1.6049789109959718e-14,1.5946837835050496e-14,9.832856103275023e-8,1.442334392821417e-15,1.266609754838485e-15,0.009900992719225975,2.6286414360122228,0.5,0.5,0.0
