Intra_Fair2,Intra_Fair3,Intra_Fair4,Inter_Fair1,Inter_Fair2,Inter_Fair3,Customer_Care,Trial
9.321434504221449e-15,9.507948316352518e-15,7.620463224417526e-8,8.443642084883201e-15,8.47615725774346e-15,0.009900981586935507,1.48165477248213,1
1.8452754014560756e-14,1.8828537566395903e-14,1.0474321369137399e-7,1.995944459825648e-15,2.467152038286988e-15,0.009900992882706742,2.1564538162316182,2
4.3111910043094355e-15,4.148708549213376e-15,5.144435941532161e-8,5.280902331985188e-16,2.490658807303683e-16,0.009900990760575296,3.335556932678041,3
1.3317230462338932e-12,1.331903225896587e-12,8.759982284560903e-7,1.8142596857590177e-14,1.8339330304871347e-14,0.00990098221028075,3.9432927575825025,4
1.3022011851276619e-12,1.302025989957401e-12,8.872229564881551e-7,6.396327418587981e-13,6.394999090932185e-13,0.009900912747531864,1.9173706329001479,5
2.8307246003653715e-15,2.7203904863644646e-15,4.1573554358412716e-8,5.786697485069865e-18,5.786697278274712e-18,0.009900989620945148,1.9509565702205875,6
5.751656571663364e-14,5.785783259116488e-14,1.7011970259294908e-7,1.9018139173608713e-14,1.906250907549161e-14,0.00990100760418159,2.0802571032074044,7
6.209561883617462e-15,5.980687176244431e-15,5.973145292016326e-8,2.0814578522296208e-16,2.137389604950027e-16,0.009900990605526041,1.9716515711007894,8
2.2191308171473982e-13,2.2164320774273383e-13,3.717062254540584e-7,2.118516468129049e-14,2.109212983814697e-14,0.009900969705066254,1.5542044700031195,9
1.969785322114055e-12,1.9697094224562667e-12,1.0539486008504896e-6,5.481145961223885e-14,5.4523311232621116e-14,0.009900925712742356,1.5389780959581676,10
2.8098196343153815e-13,2.8130141680422163e-13,3.909374927535065e-7,4.8732689946832434e-14,4.883370323153416e-14,0.009900998249886935,1.4318724605087485,11
2.142159073114284e-12,2.1418783647332617e-12,1.1138034782597885e-6,9.59844851663352e-15,9.253138992073054e-15,0.009900934006824635,2.2147674174228134,12
